 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 36 698 3 3 ZTF_g 559471061015 0 2.0721 74.3598 4.51349 26.0387 3.0569e-06 0.028613 -0.0301599 6.12437e-06 1493 30. 0.060167 0.039597 20.6924 26.0387 1 2458313.9710648 698120110 1 21.55053225487 21.408371 1.119771 0.892520 0.49547097448 37.768284 0.013207 1.057025 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 37 652 13 1 ZTF_g 561454724815 0 1.6778 52.4029 4.62739 25.8331 3.478e-06 0.0305774 -0.0311119 6.6892e-06 1529 30. 0.046522 0.046377 20.6394 25.8331 1 2458315.9547222 652120148 1 -31.7694110163 20.026669 -1.764636 0.990125 -47.34507618788 35.834091 -1.330129 1.143611 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 38 652 13 1 ZTF_r 561470764815 0 2.0935 241.113 5.83453 25.8457 1.9684e-06 0.0229494 0.0770869 3.71207e-06 1542 30. 0.052244 0.04701 20.106 25.8457 1 2458315.9707639 652120248 1 -32.5483595316 23.491251 -1.541267 0.988367 -66.15564194524 44.276089 -1.504225 1.057597 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 39 698 3 3 ZTF_g 562424211015 0 2.0322 51.2003 4.31686 25.6203 9.6627e-06 0.0498339 -0.00601491 2.03882e-05 1451 30. 0.050689 0.042775 20.3749 25.6203 1 2458316.924213 698120110 1 -3.45842299215 17.936832 -0.214480 0.971136 0.05711433169 31.292854 0.001837 1.066803 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 40 698 3 3 ZTF_r 562468581015 33554432 1.6424 116.175 5.67485 25.7426 6.64509e-05 0.13342 0.079454 0.000132226 1500 30. 0.043549 0.048381 20.1904 25.7426 1 2458316.968588 698120210 0 29.22885976737 22.860796 1.422248 0.875378 44.8719945351 47.925869 0.942585 1.026136 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 41 653 16 2 ZTF_g 564447716115 0 2.281 71.6287 4.01273 26.0412 3.8815e-06 0.0327008 -0.0435439 7.69435e-06 1605 30. 0.06198 0.042455 20.651 26.0412 1 2458318.9477199 653120161 1 26.90885732339 23.092857 1.296201 0.959653 22.61957287527 37.336468 0.609911 1.151293 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 42 653 16 1 ZTF_g 564447716015 0 2.3172 74.625 4.06123 26.1244 3.7218e-06 0.0309446 -0.0275619 7.32767e-06 1443 30. 0.064746 0.044659 20.7083 26.1244 1 2458318.9477199 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 43 652 13 1 ZTF_g 564448194815 0 2.6823 62.3567 4.21684 26.0383 5.5142e-06 0.0381583 -0.0118998 1.08795e-05 1524 30. 0.065954 0.068068 20.4068 26.0383 1 2458318.9481944 652120148 1 37.20256904453 32.634579 1.268089 0.904687 9.22667282765 48.146000 0.192930 1.309973 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 44 698 3 3 ZTF_g 565432581015 0 2.1114 84.082 4.41881 26.16 2.4268e-06 0.0255461 -0.0287715 4.82741e-06 1503 30. 0.04776 0.037974 20.8519 26.16 1 2458319.932581 698120110 1 10.19929020513 17.957239 0.631808 0.934503 -25.48025998301 32.566608 -0.787674 1.050994 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 45 698 3 3 ZTF_r 565472321015 0 1.6301 172.926 5.11214 26.1287 1.7958e-06 0.0218052 0.0873232 3.54552e-06 1495 30. 0.046978 0.04064 20.7491 26.1287 1 2458319.9723264 698120210 1 -9.89988375178 19.835987 -0.555176 0.968057 24.97221271062 39.973484 0.628927 1.032429 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
