 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 648 1 0 ZTF_r 530467180015 0 2.0267 111.636 6.43229 24.9962 0.000231118 0.167986 0.0853967 0.000367303 852 30. 0.067908 0.042365 19.1622 24.9962 3 2458284.9671875 648120200 -48.0410659549306 27.5126349056231 -1.94238471180726 1.05127511069982 -37.6518990269682 50.7414559833598 -0.74703190908917 1.05382728349885 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 30 648 1 0 ZTF_g 532447160015 0 3.3545 104.565 4.13045 26.1463 1.13078e-05 0.0364313 -0.0457312 1.92664e-05 829 30. 0.074231 0.053179 20.3265 26.1463 1 2458286.9471644 648120100 40.1309501935902 29.2819818250686 1.52452228504911 0.967918194776859 22.1283494285583 39.9230129648867 0.55800861409698 1.12521329613275 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 31 648 1 0 ZTF_r 532469650015 0 2.8142 291.56 5.58999 26.093 4.8786e-06 0.0244887 0.0881681 7.64969e-06 864 30. 0.066087 0.043695 20.1139 26.093 1 2458286.9696528 648120200 -7.49811737892102 29.0411920727001 -0.287205397034427 1.06697496732388 -7.00148255703901 45.0370498697635 -0.156507541352582 1.08253876974568 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 32 648 1 0 ZTF_g 535432660015 0 2.5156 107.76 4.54852 26.1189 8.2123e-06 0.0320809 -0.0400052 1.31587e-05 877 30. 0.066163 0.043996 20.522 26.1189 1 2458289.932662 648120100 7.56122348935514 22.7534307715513 0.369657895660093 1.0433026678577 -33.296882901384 37.242437916894 -0.900079081779231 1.0819274130233 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 33 648 1 0 ZTF_r 535470040015 0 2.1462 295.638 5.88192 26.0767 4.3245e-06 0.0233226 0.100543 6.81318e-06 884 30. 0.060703 0.042672 20.3995 26.0767 1 2458289.9700463 648120200 -24.2949847705244 25.1367831164812 -1.07513186618693 0.97853823292913 -22.7518334605263 44.3582396884666 -0.516365584585247 1.06804764582865 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 34 648 1 0 ZTF_r 537376190015 0 2.4947 267.735 7.36146 25.9886 5.5876e-06 0.0264796 0.0901343 8.83189e-06 885 30. 0.070198 0.047096 19.8309 25.9886 3 2458291.8761921 648120200 -8.51040589401912 32.479229361998 -0.291473689747462 1.01510846887082 23.4090197206102 55.6545431130436 0.423445769151252 1.05127189151855 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 35 648 1 0 ZTF_r 537377620015 0 2.2373 269.57 7.22885 25.9981 5.5785e-06 0.0264101 0.0879143 8.79406e-06 883 30. 0.063141 0.043015 19.9597 25.9981 3 2458291.8776273 648120200 -19.7962244079557 31.1086802135502 -0.707873383420956 0.988601627980944 -22.6121086927725 56.4971539119343 -0.402930076465236 1.04501012796645 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 36 648 1 0 ZTF_r 537379060015 0 2.3233 271.364 7.02752 26.0012 5.5672e-06 0.0262986 0.0928107 8.80211e-06 878 30. 0.062806 0.044163 19.9205 26.0012 3 2458291.8790625 648120200 -60.8460751006966 33.3905557728266 -2.02704655147261 0.947829760179642 41.1059669642546 58.9477996853406 0.702024812421932 1.04833071470912 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 37 648 1 0 ZTF_g 538446050015 0 2.2064 108.004 4.09135 26.1477 5.3672e-06 0.0260093 -0.0480796 8.42321e-06 882 30. 0.057001 0.040152 20.837 26.1477 1 2458292.9460532 648120100 -46.9587077716941 16.9559857605358 -3.08068926498198 0.992820551722641 -35.8413801461009 29.3840343456797 -1.22797208439898 1.07422377754528 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 38 648 1 0 ZTF_r 538477430015 0 1.7432 295.639 6.70495 26.0872 3.6702e-06 0.0215024 0.0947983 5.81633e-06 884 30. 0.054855 0.034496 20.3512 26.0872 1 2458292.9774306 648120200 -22.2747817867728 24.7861244833151 -0.999676844730984 1.03780888480397 42.7214631517673 47.5912030002911 0.903721527354685 1.05206567457713 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 39 648 1 0 ZTF_r 542361410015 0 3.4784 267.13 12.343 26.0113 1.71254e-05 0.0434065 0.0700925 2.77618e-05 772 30. 0.084383 0.066969 18.9972 26.0113 1 2458296.861412 648120200 -47.6354580574012 78.899384915504 -0.671601301750452 1.02216204408385 -115.950617402656 110.539924219821 -1.05601258826573 1.09056662370024 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 40 648 1 0 ZTF_g 542473400015 0 2.3142 107.074 10.8693 26.1598 1.46395e-05 0.0368844 -0.0361262 3.00073e-05 710 30. 0.058606 0.041269 19.6395 26.1598 1 2458296.9734028 648120100 123.817292657529 56.8269927363937 2.42371433122638 0.918604063264412 196.802191795973 96.0804047947406 2.06210273888813 1.0766630467992 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
