 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 42 285 6 1 ZTF_g 904439562015 0 2.5157 271.693 9.12202 26.0308 5.5252e-06 0.0257234 -0.0375825 1.73564e-05 1939 30. 0.080181 0.108487 19.6607 26.0308 1 2458658.9395602 285120120 101.9130555359 43.104988 2.630008 0.954185 104.91796745276 71.389732 1.479549 1.052563 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 43 285 6 1 ZTF_r 907334742015 0 2.2842 424.931 6.74095 26.1476 1.5797e-06 0.0137409 0.0830912 4.94749e-06 1960 30. 0.054968 0.054329 20.2254 26.1476 1 2458661.8347454 285120220 -37.95368095378 30.400597 -1.388758 0.900838 -57.56492591199 53.182541 -1.089693 1.052910 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 44 285 6 1 ZTF_g 907439302015 0 2.796 275.478 6.28422 26.0553 2.8665e-06 0.0185022 -0.054296 9.01705e-06 1945 30. 0.063097 0.064521 20.0085 26.0553 1 2458661.9393056 285120120 -34.12408403627 36.229836 -1.047730 0.910849 -76.30342901547 55.433022 -1.385769 1.080909 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 45 285 6 1 ZTF_r 912355432015 0 2.0206 436.33 7.23631 26.1737 1.3484e-06 0.0127372 0.0835282 4.2158e-06 1956 30. 0.045689 0.04745 20.3065 26.1737 3 2458666.8554398 285120220 3.58264176778 27.106871 0.147021 1.016357 -3.69596049343 50.327560 -0.073933 1.043955 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 46 285 6 1 ZTF_r 912355892015 0 1.9724 435.67 7.21959 26.1711 1.3246e-06 0.0126558 0.0844528 4.14286e-06 1960 30. 0.045632 0.048087 20.3203 26.1711 3 2458666.8558912 285120220 -29.35941358459 28.560717 -1.143492 0.924958 -35.51851277292 53.332016 -0.670474 1.045041 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 47 285 6 1 ZTF_r 912356342015 0 1.8428 435.957 7.19144 26.1734 1.2885e-06 0.0124352 0.0832761 4.02285e-06 1955 30. 0.043706 0.046696 20.3738 26.1734 3 2458666.8563426 285120220 -6.78526554334 26.025866 -0.290012 0.987322 -47.98549294418 49.549706 -0.974954 1.042672 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 48 285 6 1 ZTF_r 912356792015 0 1.8254 434.443 7.18513 26.1701 1.2097e-06 0.0120001 0.082063 3.78038e-06 1955 30. 0.044254 0.049641 20.3797 26.1701 3 2458666.856794 285120220 -43.77498366303 24.752310 -1.967275 0.986917 -31.2349905416 47.299355 -0.664816 1.042949 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 49 285 6 1 ZTF_r 912357242015 0 1.7866 435.983 7.16929 26.1729 1.2516e-06 0.0121776 0.0840317 3.91758e-06 1954 30. 0.044794 0.049557 20.3942 26.1729 3 2458666.8572454 285120220 10.57598110938 26.330002 0.446812 0.994586 -38.00122754608 50.412403 -0.758884 1.041732 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 50 285 6 1 ZTF_r 912357692015 0 1.9549 434.838 7.24588 26.1679 1.1949e-06 0.0119836 0.088143 3.73237e-06 1956 30. 0.045662 0.049446 20.3296 26.1679 3 2458666.8576968 285120220 -48.88024867655 26.344601 -2.063938 1.086728 -179.88544617035 48.900757 -3.703357 1.046166 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 51 285 6 1 ZTF_r 912358142015 0 1.8351 437.899 7.17012 26.1661 1.2988e-06 0.0124742 0.0846989 4.06574e-06 1960 30. 0.045266 0.048524 20.3702 26.1661 3 2458666.8581481 285120220 -15.80781570508 26.215263 -0.670768 0.983771 -16.54497265724 49.420731 -0.337033 1.043977 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 52 285 6 1 ZTF_r 912358592015 0 1.8482 434.618 7.19855 26.1695 1.2348e-06 0.0121661 0.0840437 3.86561e-06 1957 30. 0.046407 0.050986 20.365 26.1695 3 2458666.8585995 285120220 37.40183473473 24.932047 1.668744 0.954344 44.66470762437 46.648251 0.963927 1.045344 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
